requested_til,status,method_used,pdf_path,match_type,profile_found,extraction_confidence
1502-2R1,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 1502-2R1 - 7F AND 9F AFT END COMPRESSOR RUBS.pdf,exact_til_number,True,0.78
1509-R4,completed,foundation,"C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 1509-R4 - F-CLASS FRONT END (R0, S0, AND R1) COMPRESSOR INSPECTIONS.pdf",exact_til_number,True,0.86
1562-R1,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 1562-R1 - HEAVY DUTY GAS TURBINE SHIM MIGRATION AND LOSS.pdf,exact_til_number,True,0.78
1584-R1,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 1584-R1 - 7FA TURBINE SHELL INLET BLEED HEAT (IBH) EXTRACTION PIPE WELD CRACKING.pdf,exact_til_number,True,0.78
1603-R2,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 1603-R2 - R0 EROSION AND WATER INGESTION RECOMMENDATIONS.pdf,exact_til_number,True,0.78
1615-R1,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 1615-R1 - R0 COMPRESSOR BLADE AXIAL RETENTION (STAKING) ALTERNATIVES.pdf,exact_til_number,True,0.78
1638-R3,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 1638-R3 - F-CLASS R0 AND R1 PLATFORM ULTRASONIC TESTING.pdf,exact_til_number,True,0.78
1769,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 1769 - F-CLASS AFT STATOR ROCKING INSPECTION.pdf,exact_til_number,True,0.74
1850-R3,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 1850-R3 - F-CLASS COMPRESSOR MECHNICALLY-ATTACHED SHROUD S17 INSPECTION.pdf,exact_til_number,True,0.78
1870-R2,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 1870-R2 - FIRST ROW COMPRESSOR BLADE STAKING INSPECTIONS.pdf,exact_til_number,True,0.78
1907-R1,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 1907-R1 - ROTOR FORWARD SHAFT DOVETAIL CRACK.pdf,exact_til_number,True,0.78
1937-R2,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 1937-R2 - F-CLASS TURBINE WHEEL INSPECTION AND MAINTENANCE RECOMMENDATIONS.pdf,exact_til_number,True,0.74
1945-R2,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 1945-R2 - F-CLASS TURBINE WHEEL INSPECTION AND MAINTENANCE RECOMMENDATIONS.pdf,exact_til_number,True,0.78
1972-R2,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 1972-R2 - F-CLASS CONICAL FLAT SLOT BOTTOM (FSB) COMPRESSOR WHEEL RECOMMENDATIONS.pdf,exact_til_number,True,0.78
2045-R2,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 2045-R2 - 7F.04 S3B CREEP DISTRESS.pdf,exact_til_number,True,0.78
2069,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 2069 - 7 & 9 F-CLASS TURBINE 1-2 SPACER WHEEL RIM INSPECTION RECOMMENDATIONS.pdf,exact_til_number,True,0.86
2167-R1,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 2167-R1 - 7F.05 VSV2 COMPRESSOR INSPECTIONS.pdf,exact_til_number,True,0.78
2212-R3,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 2212-R3 - 7F.05 COMPRESSOR T-FAIRING DISTRESS.pdf,exact_til_number,True,0.78
2284,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 2284 - F-CLASS BALANCE WEIGHT GROOVE ENTRY SLOT RECOMMENDATIONS.pdf,exact_til_number,True,0.78
2297,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 2297 - FLARED 7F & 9F PRE-ENHANCED COMPRESSOR R1 BLADE RECOMMENDATIONS.pdf,exact_til_number,True,0.78
2322-R2,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 2322-R2 - HA AND .05 COMPRESSOR STATOR VANE RING DISTRESS.pdf,exact_til_number,True,0.78
2342-R1,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 2342-R1 - EXHAUST FRAME FLEX SEALS.pdf,exact_til_number,True,0.78
2467,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 2467 - HA COMPRESSOR CIRCUMFERENTIAL BLADES GAP MANAGEMENT.pdf,exact_til_number,True,0.78
2511,completed,foundation,C:\Users\560068861\Code\alexis_scoping\context\data\workspace_notes\samples\TILs\databricks_top25\TIL 2511 - F.05 & HA COMPRESSOR-SECTION RETENTION-KEY IMPROVEMENTS.pdf,exact_til_number,True,0.78
