document_id,doc_primary_esn,doc_primary_type,gt_esn,gen_esn,metadata_status,region_index,region
65f6535e-e26a-4e7a-bd41-6cdf4eaf1efa,298339,Gas Turbine,298339,,completed,0,"{""start"":0,""end"":1090,""metadata"":{""primary_equip_type"":""shared"",""primary_esn"":null,""esn_source"":""none"",""esn_confidence"":""none"",""section_path"":[],""active_esns"":null,""all_esns"":null,""broad_esns"":null}}"
65f6535e-e26a-4e7a-bd41-6cdf4eaf1efa,298339,Gas Turbine,298339,,completed,1,"{""start"":1090,""end"":1364,""metadata"":{""primary_equip_type"":""Gas Turbine"",""primary_esn"":""298339"",""esn_source"":""single_type"",""esn_confidence"":""high"",""section_path"":[""### 3.2.1 Compressor""],""active_esns"":null,""all_esns"":null,""broad_esns"":null}}"
65f6535e-e26a-4e7a-bd41-6cdf4eaf1efa,298339,Gas Turbine,298339,,completed,2,"{""start"":1364,""end"":1982,""metadata"":{""primary_equip_type"":""Gas Turbine"",""primary_esn"":""298339"",""esn_source"":""single_type"",""esn_confidence"":""high"",""section_path"":[""3 Turbine""],""active_esns"":null,""all_esns"":null,""broad_esns"":null}}"
65f6535e-e26a-4e7a-bd41-6cdf4eaf1efa,298339,Gas Turbine,298339,,completed,3,"{""start"":1982,""end"":2018,""metadata"":{""primary_equip_type"":""Generator"",""primary_esn"":null,""esn_source"":""none"",""esn_confidence"":""none"",""section_path"":[""5 Electrical System""],""active_esns"":null,""all_esns"":null,""broad_esns"":null}}"
65f6535e-e26a-4e7a-bd41-6cdf4eaf1efa,298339,Gas Turbine,298339,,completed,4,"{""start"":2018,""end"":2076,""metadata"":{""primary_equip_type"":""Generator"",""primary_esn"":null,""esn_source"":""none"",""esn_confidence"":""none"",""section_path"":[""5 Electrical System"",""## 5.1 Electrical""],""active_esns"":null,""all_esns"":null,""broad_esns"":null}}"
65f6535e-e26a-4e7a-bd41-6cdf4eaf1efa,298339,Gas Turbine,298339,,completed,5,"{""start"":2076,""end"":3948,""metadata"":{""primary_equip_type"":""Generator"",""primary_esn"":null,""esn_source"":""none"",""esn_confidence"":""none"",""section_path"":[""5 Electrical System"",""## 5.2 Excitation System""],""active_esns"":null,""all_esns"":null,""broad_esns"":null}}"
65f6535e-e26a-4e7a-bd41-6cdf4eaf1efa,298339,Gas Turbine,298339,,completed,6,"{""start"":3948,""end"":5381,""metadata"":{""primary_equip_type"":""Gas Turbine"",""primary_esn"":""298339"",""esn_source"":""local_header"",""esn_confidence"":""highest"",""section_path"":[""GAS TURBINE (298339 | SY0048192)""],""active_esns"":null,""all_esns"":null,""broad_esns"":null}}"
65f6535e-e26a-4e7a-bd41-6cdf4eaf1efa,298339,Gas Turbine,298339,,completed,7,"{""start"":5381,""end"":8176,""metadata"":{""primary_equip_type"":""Gas Turbine"",""primary_esn"":""298339"",""esn_source"":""parent_inherit"",""esn_confidence"":""high"",""section_path"":[""GAS TURBINE (298339 | SY0048192)"",""3 Turbine""],""active_esns"":null,""all_esns"":null,""broad_esns"":null}}"
65f6535e-e26a-4e7a-bd41-6cdf4eaf1efa,298339,Gas Turbine,298339,,completed,8,"{""start"":8176,""end"":15524,""metadata"":{""primary_equip_type"":""Gas Turbine"",""primary_esn"":""298339"",""esn_source"":""parent_inherit"",""esn_confidence"":""high"",""section_path"":[""GAS TURBINE (298339 | SY0048192)"",""3 Turbine"",""### 3.2.1 Compressor""],""active_esns"":null,""all_esns"":null,""broad_esns"":null}}"
65f6535e-e26a-4e7a-bd41-6cdf4eaf1efa,298339,Gas Turbine,298339,,completed,9,"{""start"":15524,""end"":15629,""metadata"":{""primary_equip_type"":""Generator"",""primary_esn"":null,""esn_source"":""none"",""esn_confidence"":""none"",""section_path"":[""GAS TURBINE (298339 | SY0048192)"",""5 Electrical System""],""active_esns"":null,""all_esns"":null,""broad_esns"":null}}"
65f6535e-e26a-4e7a-bd41-6cdf4eaf1efa,298339,Gas Turbine,298339,,completed,10,"{""start"":15629,""end"":37658,""metadata"":{""primary_equip_type"":""Generator"",""primary_esn"":null,""esn_source"":""none"",""esn_confidence"":""none"",""section_path"":[""GAS TURBINE (298339 | SY0048192)"",""5 Electrical System"",""## 5.1 Electrical""],""active_esns"":null,""all_esns"":null,""broad_esns"":null}}"
