equip_serial_number,equipment_type,equipment_sub_class,equipment_model,equipment_sys_id,train_sys_id_fk,block_sys_id_fk,plant_sys_id_fk,equipment_status,record_status,active_lineage_indicator,driven_equipment,equipment_name
null,Condenser,Water Cooled Condenser (WCC),null,SY1412166,UNI036486,BLC036450,13170,InService,Active,True,null,THOMAS A SMITH 1 - Condenser
297627,Gas Turbine,7FA.04,PG7241FA,SY0070882,UNI036486,BLC036450,13170,InService,Active,True,Generator,THOMAS A. SMITH CC 1 GT-1/GT
337X755,Generator,7FH2,741,SY0072572,UNI036486,BLC036450,13170,InService,Active,True,null,THOMAS A. SMITH CC 1 GT-1/GEN
HR297627,HRSG,HRSG,null,SY0069523,UNI036486,BLC036450,13170,InService,Active,True,null,THOMAS A SMITH -1 GT 1 HRSG
297628,Gas Turbine,7FA.04,PG7241FA,SY0070883,UNI036487,BLC036450,13170,InService,Active,True,Generator,THOMAS A. SMITH CC 1 GT-2/GT
337X756,Generator,7FH2,741,SY0072573,UNI036487,BLC036450,13170,InService,Active,True,null,THOMAS A. SMITH CC 1 GT-2/GEN
HR297628,HRSG,HRSG,null,SY0312500,UNI036487,BLC036450,13170,InService,Active,True,null,THOMAS A SMITH -1 GT 2
null,ECS,DENOX,null,SY0100379,UNI036488,BLC036450,13170,InService,Active,True,null,THOMAS A SMITH -1 ST DENOX
290T488,Generator,324,396,SY0072574,UNI036488,BLC036450,13170,InService,Active,True,null,THOMAS A. SMITH CC 1 ST-1/ST GEN
270T488,Steam Turbine,207D-11,D11,SY0073325,UNI036488,BLC036450,13170,InService,Active,True,Generator,THOMAS A. SMITH CC 1 ST-1/ST
null,Condenser,Water Cooled Condenser (WCC),null,SY1412167,UNI036489,BLC036453,13170,InService,Active,True,null,THOMAS A SMITH 2 - Condenser
297651,Gas Turbine,7FA.04,PG7241FA,SY0070884,UNI036489,BLC036453,13170,InService,Active,True,Generator,THOMAS A. SMITH CC 2 GT-1/GT
337X765,Generator,7FH2,741,SY0072575,UNI036489,BLC036453,13170,InService,Active,True,null,THOMAS A. SMITH CC 2 GT-1/GEN
HR297651,HRSG,HRSG,null,SY0069524,UNI036489,BLC036453,13170,InService,Active,True,null,THOMAS A SMITH -2 GT 1 HRSG
297652,Gas Turbine,7FA.04,PG7241FA,SY0070885,UNI036490,BLC036453,13170,InService,Active,True,Generator,THOMAS A. SMITH CC 2 GT-2/GT
337X766,Generator,7FH2,741,SY0072576,UNI036490,BLC036453,13170,InService,Active,True,null,THOMAS A. SMITH CC 2 GT-2/GEN
HR297652,HRSG,HRSG,null,SY0312520,UNI036490,BLC036453,13170,InService,Active,True,null,THOMAS A SMITH -2 GT 2
null,ECS,DENOX,null,SY0100380,UNI036491,BLC036453,13170,InService,Active,True,null,THOMAS A SMITH -2 ST DENOX
290T503,Generator,324,396,SY0072577,UNI036491,BLC036453,13170,InService,Active,True,null,THOMAS A. SMITH CC 2 ST-1/ST GEN
270T503,Steam Turbine,207D-11,D11,SY0073326,UNI036491,BLC036453,13170,InService,Active,True,Generator,THOMAS A. SMITH CC 2 ST-1/ST
