component,issue_name,,290T434,290T484,290T503,290T530,290T532,290T543,290T577,290T658,290T762,337X045,337X233,337X305,337X330,337X336,337X369,337X393,337X708,337X709,337X758,338X408,338X424,338X425,338X426,338X427,338X713,338X714,338X722,338X724,338X765,761X004
Rotor,"IR, PI",,Light,Light,Light,L OR N/A,L OR N/A,L OR N/A,Light,Light,Light,L OR N/A,Light,Light,L OR N/A,L OR N/A,L OR N/A,Light,Light,Light,L OR N/A,L OR N/A,Light,L OR N/A,L OR N/A,Light,Light,Light,L OR N/A,Light,Light,Light
Rotor,Winding resistance,,Light,Light,Light,L OR N/A,L OR N/A,L OR N/A,Light,Light,Light,L OR N/A,Light,Light,L OR N/A,L OR N/A,L OR N/A,Light,Light,Light,L OR N/A,L OR N/A,Light,L OR N/A,L OR N/A,Light,Light,Heavy,L OR N/A,Light,Light,Light
Rotor,RSO  (Recurrent Surge Oscilliograph),,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,No Data,L OR N/A,L OR N/A,L OR N/A,Light,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,No Data OR Medium,Light,L OR N/A,L OR N/A,Medium,L OR N/A,Light,L OR N/A,L OR N/A
Rotor,Gen Field Excitation Fleet,,Light,No Data,No data,Light,No data,Light,No data,Medium,No data,No data,No data,Light,Medium,Light,Medium,Medium,Medium,Light,No data,L OR N/A,Medium,No Data,Light,Medium,Medium,Medium,Medium,Light,Medium,Light
Rotor,Flux probe,,Light,L OR N/A,Medium,L OR N/A,L OR N/A,Light,L OR N/A,No Data OR Medium,Light,L OR N/A,Medium,L OR N/A,Light OR Medium,Light,Medium,No Data,L OR N/A,Light,Heavy,L OR N/A,No Data,L OR N/A,L OR N/A,No Data OR Medium,Medium,No Data,L OR N/A,L OR N/A,No Data OR Medium,L OR N/A
Rotor,Vibration,,Light,L OR N/A,No Data,Light,Heavy,Medium,Light,Light,Light,Light,Heavy,Light,Heavy,Light,Medium,Light,Light,Light,Medium,L OR N/A,Light,No Data,Light,Light,Light,Light,Medium,Light,Light,Light
Rotor,Thermal Sensitivity Test,,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Medium,Medium,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Medium,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Rotor,"Ventilation hole blocking 
(migration of slot components)",,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Medium,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Rotor,Turn to turn insulation migration,,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Light,Light,Light,L OR N/A,Medium,Medium,L OR N/A,Medium,L OR N/A,L OR N/A
Rotor,Slot armour migration/damage/cracking,,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
