ESN,Equipment Sys ID,Equipment Type,Equipment Class / Code,Event Type,EV Project ID,EV Equipment Event ID,OFS Event ID,FSP project ID,xxx project id,FSR Number (#),Report Issued Date,Outage Start Date,Outage End Date,PDF Name / path / identifier
297837,SY0069758,Gas Turbine,7FA.04,Borescope Inspection (BI),EVP-535936,EV-153666,153666,,A-1823120,,,29-Oct-24,26-Nov-24,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/00004423-9ebe-46e9-ac88-b0d096699d3d.pdf
T6FA04,SY0047308,Gas Turbine,6FA.03,Services Warranty,EVP-538410,EV-158263,158263,,A-1840180,,,16-Oct-23,20-10-2023,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/0000475b-c650-485f-9b36-69ef691dd7ed.pdf
270T911,SY0494702,Steam Turbine,SC5,Major Inspection (MI),EVP-524733,EV-137677,137677,,C-10371049,,,19-Aug-22,31-10-2022,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/00092826-716a-40a8-9c5f-ce307465a87f.pdf
290T911,SY0513047,Generator,9A5,Major Inspection (MI),EVP-524733,EV-137677,137677,,C-10371049,,,19-Aug-22,31-10-2022,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/00092826-716a-40a8-9c5f-ce307465a87f.pdf
804605,SY0048632,Gas Turbine,GT11N,A Inspection,,,,,C-80050690,,,18-Jan-21,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/000966e2-b88b-459c-8966-e2b88be59c9d.pdf
296961,SY0083979,Gas Turbine,51P,On Site Services,EVP-512154,EV-113776,10358131,FSP-304627,A-0226814 | C-10358131,,,20-01-2021,04-02-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/005375e0-631f-41bf-9375-e0631f91bf90.pdf
197656,SY0044073,Steam Turbine,107SCSF,Major Inspection (MI),,,,,A-1289366,,,,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/0092023d-b13c-428c-9202-3db13cc28cbf.pdf
161X778,SY0035710,Generator,HYDROGEN-CO,Major Inspection (MI),,,,,A-1289366,,,,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/0092023d-b13c-428c-9202-3db13cc28cbf.pdf
818084,SY0021677,Steam Turbine,DS4YTT4I452B,On Site Services,,,,FSP-285391,A-0177509 | C-10351478,,,29-Sep-20,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/021decdb-873f-43be-9dec-db873f53bebd.pdf
1083,SY0018852,Steam Turbine,DKY2-1N080,Stand Alone Small Upgrade,,,NEX-P-245464 | SP-ES0-011920,,,,,19-Mar-21,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/02a29a81-c142-42f0-a29a-81c14282f00b.pdf
HM300778,SY0010496,Generator,50WX18L-066LL,Stand Alone Small Upgrade,,,NEX-P-245464 | SP-ES0-011920,,,,,19-Mar-21,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/02a29a81-c142-42f0-a29a-81c14282f00b.pdf
,,,,A Inspection,,,,,,,,,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/02ce6abc-f707-4603-8e6a-bcf707f60329.pdf
298136,SY0047421,Gas Turbine,7FA.03,Borescope Inspection (BI),EVP-505640,EV-112676,10339340,FSP-278467,A-1560548 | C-10339340,,,08-Jun-20,10-06-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/033fdd55-a5d5-46fa-bfdd-55a5d576fac6.pdf
GM002467,SY0059419,Steam Turbine,DKY4-4N45A,,,,NEX-P-256465 | SP-ES0-010869,,,,12-Aug-22,,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/03d4467e-f767-4d90-9f4c-1e2845554144.pdf
GM002468,SY0079648,Steam Turbine,BFPT 245,,,,NEX-P-256465 | SP-ES0-010869,,,,12-Aug-22,,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/03d4467e-f767-4d90-9f4c-1e2845554144.pdf
GM226467,SY0091628,Generator,50WT23E-138,,,,NEX-P-256465 | SP-ES0-010869,,,,12-Aug-22,,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/03d4467e-f767-4d90-9f4c-1e2845554144.pdf
