ESN,Equipment Sys ID,Equipment Type,Equipment Class / Code,Event Type,EV Project ID,EV Equipment Event ID,OFS Event ID,FSP project ID,xxx project id,FSR Number (#),Report Issued Date,Outage Start Date,Outage End Date,PDF Name / path / identifier
297837,SY0069758,Gas Turbine,7FA.04,Borescope Inspection (BI),EVP-535936,EV-153666,153666,,A-1823120,,,29-Oct-24,26-Nov-24,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/00004423-9ebe-46e9-ac88-b0d096699d3d.pdf
T6FA04,SY0047308,Gas Turbine,6FA.03,Call-Out,EVP-538410,EV-158263,158263,,A-1840180,,,16-Oct-23,20-10-2023,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/0000475b-c650-485f-9b36-69ef691dd7ed.pdf
270T911,SY0494702,Steam Turbine,SC5,Major Inspection (MI),EVP-524733,EV-137677,137677,,C-10371049,,,19-Aug-22,31-10-2022,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/00092826-716a-40a8-9c5f-ce307465a87f.pdf
290T911,SY0513047,Generator,9A5,Major Inspection (MI),EVP-524733,EV-137677,137677,,C-10371049,,,19-Aug-22,31-10-2022,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/00092826-716a-40a8-9c5f-ce307465a87f.pdf
804605,SY0048632,Gas Turbine,GT11N,A Inspection,,,,,C-80050690,,,18-Jan-21,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/000966e2-b88b-459c-8966-e2b88be59c9d.pdf
272002,SY0059391,Gas Turbine,9FA.03,Major Inspection (MI),EVP-503930,EV-106824,10333007,FSP-239137,A-1477550 | C-10333007,,,16-Oct-20,08-03-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/0a1129cb-5588-480d-9129-cb5588d80d42.pdf
,SY0024054,Steam Turbine,18K348,On Site Services,,,,,NEX-P-259974 | SP-10349235,,,03-May-20,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/0a280771-55fb-478f-a807-7155fb578fe8.pdf
,SY0158244,Steam Turbine,OTHER,,,,,,NEX-P-255778 | SP-10347982,,,,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/0acb218b-479e-476c-8b21-8b479ec76c14.pdf
V02419,SY0048231,Gas Turbine,GT24,C Inspection,EVP-503853,EV-112921,10312049,FSP-235217,C-10312049,,04-May-21,01-03-2021,09-04-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/0dbcb400-84fb-4904-bcb4-0084fb490451.pdf
297065,SY0070944,Gas Turbine,71EA,Unusual,EVP-505552,EV-116519,10338499,FSP-277372,A-1557600 | C-10338499,,08-Feb-21,12-10-2020,28-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/17c316c4-3106-46b8-8316-c4310676b87c.pdf
281869,SY0069822,Gas Turbine,71E,Call-Out,EVP-510535,EV-114675,10353677,FSP-299052,A-1630514 | C-10353677,,,25-Sep-20,28-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/1d9034a2-ce2d-4a03-9034-a2ce2dba03b6.pdf
297328,SY0071334,Gas Turbine,7FA.03,Borescope Inspection (BI),EVP-505114,EV-114253,10335331,FSP-272724,A-1545366 | C-10335331,,,31-Aug-20,09-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/1e221374-f598-4467-a213-74f598a46776.pdf
290T538,SY0072301,Steam Turbine,324,On Site Services,EVP-507798,EV-124740,10346865,FSP-289268,A-1596140 | C-10346865,,,20-Oct-20,04-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/236e14da-418d-4c27-ae14-da418d7c27d7.pdf
875109,SY0527895,Gas Turbine,6FA.03,Call-Out,EVP-510352,EV-108798,10353272,FSP-298387,A-1628308 | C-10353272,,,14-Sep-20,21-12-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/24d69660-da52-4821-9696-60da52782186.pdf
337X607,SY0318268,Generator,6F,Call-Out,EVP-510352,EV-108798,10353272,FSP-298387,A-1628308 | C-10353272,,,14-Sep-20,21-12-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/24d69660-da52-4821-9696-60da52782186.pdf
337X607,SY0089579,Generator,6FA,Call-Out,EVP-510352,EV-108798,10353272,FSP-298387,A-1628308 | C-10353272,,,14-Sep-20,21-12-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/24d69660-da52-4821-9696-60da52782186.pdf
295505,SY0337613,Gas Turbine,61B,Major Inspection (MI),EVP-503918,EV-119965,10333314,FSP-237852,C-10333314,,,14-Aug-20,20-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/24dc8053-1df9-4fe9-9c80-531df92fe9c0.pdf
295505,SY0337613,Gas Turbine,61B,Major Inspection (MI),EVP-503918,EV-119964,10333314,FSP-237852,C-10333314,,,14-Aug-20,20-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/24dc8053-1df9-4fe9-9c80-531df92fe9c0.pdf
